Source;Symbol;ChangePerc;ClosePrice;OpenPrice;ChangeInDollars;Volume;HighPrice;LowPrice;PreviousClose;YearHigh;YearLow;NShares;PE;MarketCap;Yield;DividendYield;EPS
bloomberg;sial;1.172%;74.240;73.540;860;674,663;74.265;73.070;;74.26;48.80;121.827mil;21.771;9,044.402mil;917;0.180 regular cash;3.410
google-finance;sial;(1.17%);74.24;73.54;+0.86;673,614.00;74.26;73.07;;74.26;48.80;121.80m;22.66;9.04b;0.97;0.18;3.28
msn-money;sial;+1.17%;74.24;73.54;+0.86;673,614;74.27;73.07;73.38;73.60;48.80;121.83 mil;22.63;8.94 bil;0.98%;0.72;3.28
nasdaq-com;sial;1.17%;$ 74.24;$ 73.54;0.86;673,614;$ 74.265;$ 73.07;$ 73.38;$ 73.60;$ 48.80;121,827,000;22.63;$ 9,044,436,480;0.98 %;$0.720000;$ 3.28
yahoo-finance;sial;1.17%;74.24;73.54;0.86;673,614;74.26;73.07;73.38;74.26;48.80;;22.63;9.04b;1.00%;0.72;3.28
bloomberg;bmc;1.993%;55.790;54.840;1.090;2,300,895;56.100;54.800;;56.16;34.24;176.858mil;25.018;9,866.908mil;;;2.230
google-finance;bmc;(1.99%);55.79;54.84;+1.09;2.30m;56.10;54.80;;56.16;34.24;175.93m;22.31;9.82b;;;2.50
msn-money;bmc;+1.99%;55.79;54.84;+1.09;2.3 mil;56.10;54.80;54.70;56.16;34.24;175.93 mil;16.80;9.62 bil;;;2.50
nasdaq-com;bmc;1.99%;$ 55.79;$ 54.84;1.09;2,300,895;$ 56.10;$ 54.80;$ 54.70;$ 56.16;$ 34.24;176,858,000;22.59;$ 9,866,907,820;;;$ 2.47
yahoo-finance;bmc;1.99%;55.79;54.94;1.09;2,300,795;56.03;54.80;54.70;56.16;34.24;;22.32;9.87b;;;2.50
bloomberg;qcom;1.919%;57.880;56.790;1.090;11,968,775;57.980;56.440;;59.84;31.63;1,669.532mil;21.437;96,632.520mil;1.356;0.215 regular cash;2.700
google-finance;qcom;(1.92%);57.88;56.79;+1.09;12.03m;57.98;56.44;;59.84;31.63;1.67b;25.14;96.63b;1.49;0.22;2.30
msn-money;qcom;+1.92%;57.88;56.79;+1.09;12.03 mil;57.98;56.44;56.79;59.84;31.63;1.67 bil;25.17;94.81 bil;1.51%;0.86;2.30
