"","Source","Symbol","ChangePerc","ClosePrice","OpenPrice","ChangeInDollars","Volume","HighPrice","LowPrice","PreviousClose","YearHigh","YearLow","NShares","PE","MarketCap","Dividend","DividendYield","EPS"
"1","bloomberg","sial","1.172","74.24","73.54",0.86,"674663","74.265","73.07","73.38","74.26","48.8","121827000","21.771","9044402000","0.18","917","3.41"
"2","google-finance","sial","1.17","74.24","73.54",0.86,"673614","74.26","73.07","73.38","74.26","48.8","121800000","22.66","9.04e+09","0.18","0.97","3.28"
"3","msn-money","sial","1.17","74.24","73.54",0.86,"673614","74.27","73.07","73.38","73.6","48.8","121830000","22.63","8.94e+09","0.72","0.98","3.28"
"4","nasdaq-com","sial","1.17","74.24","73.54",0.86,"673614","74.265","73.07","73.38","73.6","48.8","121827000","22.63","9044436480","0.72","0.98","3.28"
"5","yahoo-finance","sial","1.17","74.24","73.54",0.86,"673614","74.26","73.07","73.38","74.26","48.8","121827000","22.63","9.04e+09","0.72","1","3.28"
"6","bloomberg","bmc","1.993","55.79","54.84",1.09,"2300895","56.1","54.8","54.7","56.16","34.24","176858000","25.018","9866908000",NA,NA,"2.23"
"7","google-finance","bmc","1.99","55.79","54.84",1.09,"2300000","56.1","54.8","54.7","56.16","34.24","175930000","22.31","9.82e+09",NA,NA,"2.5"
"8","msn-money","bmc","1.99","55.79","54.84",1.09,"2300000","56.1","54.8","54.7","56.16","34.24","175930000","16.8","9.62e+09",NA,NA,"2.5"
"9","nasdaq-com","bmc","1.99","55.79","54.84",1.09,"2300895","56.1","54.8","54.7","56.16","34.24","176858000","22.59","9866907820",NA,NA,"2.47"
"10","yahoo-finance","bmc","1.99","55.79","54.94",1.09,"2300795","56.03","54.8","54.7","56.16","34.24","176858000","22.32","9.87e+09",NA,NA,"2.5"
"11","bloomberg","qcom","1.919","57.88","56.79",1.09,"11968775","57.98","56.44","56.79","59.84","31.63","1669532000","21.437","96632520000","0.215","1.356","2.7"
